;country;region;gdp;literacy;co2;gini
1;Algeria;Africa;7300,399902;72,59999847;15;NA
2;Benin;Africa;1338,800049;41,70000076;1,200000048;NA
3;Botswana;Africa;12307,40039;84,09999847;9,199999809;NA
4;Burkina Faso;Africa;1063,400024;23,60000038;0,200000003;NA
5;Burundi;Africa;349,2000122;66,59999847;0,100000001;33,29999924
6;Cameroon;Africa;1986,800049;NA;0,75;NA
7;Cape Verde;Africa;3052,199951;84,80000305;2,150000095;NA
8;Central African Rep;Africa;677;55,20000076;0,200000003;NA
9;Chad;Africa;1266,199951;33,59999847;0,100000001;NA
10;Comoros;Africa;1099;74,19999695;0,400000006;NA
11;Congo;Africa;3628;NA;1,549999952;47,29999924
12;Congo (Dem Rep);Africa;279,7999878;66,80000305;0,100000001;44,40000153
13;Cï¿½te d'Ivoire;Africa;1539,199951;55,29999924;1,450000048;46,09999847
14;Djibouti;Africa;1972,199951;NA;2,200000048;NA
15;Egypt;Africa;4754,399902;68,90000153;8,449999809;32,09999847
16;Equatorial Guinea;Africa;27645,80078;93,30000305;32,55000305;NA
17;Eritrea;Africa;579,5999756;66,59999847;0,5;NA
18;Ethiopia;Africa;741,4000244;29,79999924;0,300000012;29,79999924
19;Gabon;Africa;13183,2002;87,69999695;5,550000191;41,5
20;Gambia;Africa;1218,400024;46,5;0,699999988;NA
21;Ghana;Africa;1303;66,59999847;1,350000024;42,79999924
22;Guinea;Africa;957,5999756;39,5;0,550000012;39,40000153
23;Guinea-Bissau;Africa;967,5999756;52,20000076;0,600000024;NA
24;Kenya;Africa;1405,400024;87;1,150000095;47,70000076
25;Lesotho;Africa;1284,400024;89,69999695;NA;NA
26;Liberia;Africa;345;59,09999847;0,800000012;52,59999847
27;Libya;Africa;14497,7998;88,90000153;33,84999847;NA
28;Madagascar;Africa;919,7999878;64,5;0,550000012;47,20000076
29;Malawi;Africa;660,4000244;73,69999695;0,300000012;NA
30;Mali;Africa;1032,800049;26,20000076;0,200000003;39
31;Mauritania;Africa;1794,199951;57,5;2;NA
32;Mauritius;Africa;10950,2002;87,90000153;10,70000076;NA
33;Morocco;Africa;3802,800049;55,59999847;5,550000191;40,90000153
34;Mozambique;Africa;738,5999756;55,09999847;0,350000024;45,59999847
35;Namibia;Africa;5740,200195;88,5;5;NA
36;Niger;Africa;620,7999878;28,70000076;0,25;34
37;Nigeria;Africa;1870;60,79999924;2,75;NA
38;Rwanda;Africa;954;70,69999695;0,300000012;53,09999847
39;Sao Tome/Principe;Africa;1544,400024;88,80000305;2,450000048;NA
40;Senegal;Africa;1635,599976;45,80000305;1,5;39,20000076
41;Seychelles;Africa;18625,80078;91,80000305;30,79999924;19
42;Sierra Leone;Africa;698,2000122;40,90000153;0,649999976;NA
43;Somalia;Africa;NA;NA;0,100000001;NA
44;South Africa;Africa;9175,400391;NA;31,39999962;NA
45;Sudan*;Africa;1838,800049;70,19999695;1,100000024;NA
46;Swaziland;Africa;4468,799805;86,90000153;3,299999952;NA
47;Tanzania;Africa;1151,800049;72,90000153;0,5;37,59999847
48;Togo;Africa;775;56,90000153;0,75;34,40000153
49;Tunisia;Africa;7032;77,59999847;8,300000191;NA
50;Uganda;Africa;1010,599976;71,40000153;0,300000012;44,29999924
51;Zambia;Africa;1211,599976;70,90000153;0,800000012;NA
52;Zimbabwe;Africa;NA;91,90000153;3,150000095;NA
53;Antigua and Barbuda;Americas;17676,40039;99;18,29999924;NA
54;Argentina;Americas;12274;97,69999695;15,64999962;45,79999924
55;Bahamas;Americas;NA;NA;23,95000076;NA
56;Barbados;Americas;19189;NA;16,64999962;NA
57;Belize;Americas;6208,799805;NA;10,75;NA
58;Bolivia;Americas;3873;90,69999695;4,150000095;57,29999924
59;Brazil;Americas;9081,200195;89,80000305;6,850000381;53,90000153
60;Canada;Americas;35444;NA;62,44999695;NA
61;Chile;Americas;12852,59961;98,59999847;13,39999962;22,60000038
62;Colombia;Americas;7877;92,92500305;4,949999809;58,5
63;Costa Rica;Americas;9870;96,09999847;6,349999905;50,29999924
64;Cuba;Americas;NA;99,80000305;8,850000381;NA
65;Dominica;Americas;7800,399902;NA;6,25;NA
66;Dominican Republic;Americas;7071,200195;NA;7,75;48,40000153
67;Ecuador;Americas;7170;84,19999695;8,649999619;49
68;El Salvador;Americas;6005,600098;83,90000153;3,5;46,90000153
69;Grenada;Americas;7938,799805;NA;8,299999237;NA
70;Guatemala;Americas;4245,600098;74,5;3,349999905;53,70000076
71;Guyana;Americas;2731;NA;7,449999809;NA
72;Haiti;Americas;1031,199951;48,70000076;0,699999988;NA
73;Honduras;Americas;3472,399902;NA;4;57,70000076
74;Jamaica;Americas;7115;86,40000153;15,19999981;NA
75;Mexico;Americas;12979,40039;92,40000153;15,14999962;51,70000076
76;Nicaragua;Americas;2421,199951;78;2,849999905;52,29999924
77;Panama;Americas;10682,40039;93,59999847;7;52,29999924
78;Paraguay;Americas;4104,600098;NA;2,400000095;52
79;Peru;Americas;7198;88,30000305;5,050000191;48
80;Saint Kitts/Nevis;Americas;13702,59961;NA;10,05000019;NA
81;Saint Lucia;Americas;8970;NA;8,550000191;NA
82;St Vincent/Grenadines;Americas;8063,600098;NA;6,050000191;NA
83;Suriname;Americas;6441,25;94,59999847;19,45000076;NA
84;Trinidad/Tobago;Americas;22696,40039;98,69999695;89,25;NA
85;United States;Americas;42895;NA;70,55000305;NA
86;Uruguay;Americas;10842,59961;98,09999847;7,099999905;42,40000153
87;Venezuela;Americas;10999;NA;22;43,5
88;Afghanistan;Asia;938,4000244;NA;0,100000001;NA
89;Armenia;Asia;4879,399902;99,5;5,300000191;30,89999962
90;Azerbaijan;Asia;6945;NA;15,39999962;33,70000076
91;Bahrain;Asia;30088;91,40000153;102,6499939;NA
92;Bangladesh;Asia;1177,800049;55,90000153;1;31
93;Bhutan;Asia;4072,399902;52,79999924;2,25;NA
94;Brunei Darussalam;Asia;48002;95,30000305;57,30000305;NA
95;Cambodia;Asia;1658,800049;77,59999847;1,049999952;44,40000153
96;China;Asia;5175,399902;94;16,29999924;41,5
97;Cyprus;Asia;25403,19922;97,90000153;33,34999847;NA
98;Georgia;Asia;4157,200195;99,69999695;4,25;41,29999924
99;Hong Kong, China;Asia;38669,80078;NA;20,75;NA
100;India;Asia;2647,800049;62,79999924;4,699999809;36,79999924
101;Indonesia;Asia;3518,399902;92,09999847;5,350000381;36,79999924
102;Iran;Asia;10064,59961;83,2333374;23,70000076;38,29999924
103;Iraq;Asia;3052;78,09999847;11,75;NA
104;Israel;Asia;24804,80078;NA;36,40000153;NA
105;Japan;Asia;30778;NA;37,19999695;NA
106;Jordan;Asia;4782,200195;91,09999847;13,70000076;37,70000076
107;Kazakhstan;Asia;9881,599609;99,69999695;44,5;30,89999962
108;Kuwait;Asia;44598,66797;93,5;118,1999969;NA
109;Kyrgyzstan;Asia;1901,800049;99,19999695;3,900000095;33,40000153
110;Lao;Asia;1856,199951;72,69999695;0,899999976;36,70000076
111;Lebanon;Asia;10388;NA;14,94999981;NA
112;Malaysia;Asia;12530,40039;92,5;26,29999924;46,20000076
113;Maldives;Asia;4773,200195;98,40000153;9,5;NA
114;Mongolia;Asia;2990,399902;97,5;12,89999962;36,5
115;Myanmar;Asia;NA;92;0,800000012;NA
116;Nepal;Asia;996,5999756;59,09999847;0,400000006;NA
117;North Korea;Asia;NA;100;13,05000019;NA
118;Oman;Asia;21051;86,59999847;52,79999924;NA
119;Pakistan;Asia;2301,199951;53,20000076;3,199999809;32,70000076
120;Palestinian Territory;Asia;NA;94,03333282;2,75;NA
121;Philippines;Asia;3118,199951;95,40000153;3,099999905;44
122;Qatar;Asia;74906;94,34999847;210,6499939;41,09999847
123;Saudi Arabia;Asia;21381,40039;86,09999847;57,45000076;NA
124;Singapore;Asia;47373,80078;94,69999695;48,75;NA
125;South Korea;Asia;24539,59961;NA;36,29999924;NA
126;Sri Lanka;Asia;3975,600098;90,69999695;2,25;40,29999924
127;Syria;Asia;4131,799805;84,19999695;12,89999962;NA
128;Tajikistan;Asia;1650,599976;99,69999695;3,349999905;29,39999962
129;Thailand;Asia;7170,200195;93,5;15,80000019;53,59999847
130;Timor-Leste;Asia;701,4000244;NA;0,600000024;31,89999962
131;Turkey;Asia;11529,40039;89,03333282;12,94999981;39,70000076
132;Turkmenistan;Asia;5639,799805;99,59999847;32,34999847;NA
133;United Arab Emirates;Asia;51992,60156;90;120,8499985;NA
134;Uzbekistan;Asia;2295,600098;99,30000305;15,60000038;NA
135;Viet Nam;Asia;2429,800049;92,80000305;4,449999809;37,59999847
136;Yemen;Asia;2213,800049;62,40000153;3,599999905;37,70000076
137;Albania;Europe;6832,600098;95,90000153;5,150000095;34,5
138;Andorra;Europe;NA;NA;NA;NA
139;Austria;Europe;34838,39844;NA;31,90000153;NA
140;Belarus;Europe;10391,7998;99,69999695;25;27,20000076
141;Belgium;Europe;32868,80078;NA;38,15000153;NA
142;Bosnia/Herzegovina;Europe;6932,799805;97,80000305;24,79999924;36,20000076
143;Bulgaria;Europe;10998,2002;98,30000305;22,59999847;45,29999924
144;Croatia;Europe;16403,59961;98,80000305;19,04999924;33,70000076
145;Czech Republic;Europe;22044,59961;NA;41,29999924;NA
146;Denmark;Europe;33687,19922;NA;34,05000305;NA
147;Estonia;Europe;17932;99,80000305;48,84999847;NA
148;Finland;Europe;32096,40039;NA;42,40000153;NA
149;France;Europe;30162,19922;NA;23,29999924;NA
150;Germany;Europe;32639,59961;NA;35,70000076;NA
151;Greece;Europe;26118;97,19999695;32,25;NA
152;Hungary;Europe;17476,19922;99,40000153;21,20000076;31,20000076
153;Iceland;Europe;35593,80078;NA;27,15000153;NA
154;Ireland;Europe;38986,80078;NA;38,54999924;NA
155;Italy;Europe;28042,40039;98,90000153;29,5;NA
156;Latvia;Europe;14491,2002;99,80000305;11,64999962;35,70000076
157;Liechtenstein;Europe;NA;NA;NA;NA
158;Lithuania;Europe;15835,7998;99,69999695;15,14999962;37,59999847
159;Luxembourg;Europe;71141;NA;90,44999695;NA
160;Macedonia;Europe;8312,599609;97,09999847;19,95000076;44,20000076
161;Malta;Europe;21871,19922;92,40000153;23,35000038;NA
162;Moldova;Europe;2553,600098;98,5;7,599999905;38
163;Monaco;Europe;NA;NA;NA;NA
164;Montenegro;Europe;9592,799805;NA;NA;30
165;Netherlands;Europe;36646,39844;NA;38,5;NA
166;Norway;Europe;48169,39844;NA;39,84999847;NA
167;Poland;Europe;15446,40039;99,5;29,85000038;34,20000076
168;Portugal;Europe;21628,40039;94,90000153;21,79999924;NA
169;Romania;Europe;10560,40039;97,69999695;16,20000076;31,20000076
170;Russian Federation;Europe;13424,7998;99,59999847;39,34999847;42,29999924
171;San Marino;Europe;NA;NA;NA;NA
172;Serbia;Europe;9473,200195;97,80000305;NA;28,20000076
173;Slovakia;Europe;18552,19922;NA;25,60000038;NA
174;Slovenia;Europe;25321,19922;99,69999695;27,59999847;NA
175;Spain;Europe;27862,19922;97,69999695;29,75;NA
176;Sweden;Europe;33621,39844;NA;20,75;NA
177;Switzerland;Europe;37105,80078;NA;20,5;NA
178;Ukraine;Europe;6124;99,69999695;25,35000038;27,5
179;United Kingdom;Europe;33295,80078;NA;34,09999847;NA
180;Angola;Oceania;4662;70;2,25;NA
181;Australia;Oceania;33707,19922;NA;66,19999695;NA
182;Fiji;Oceania;4259,600098;NA;7,25;NA
183;Kiribati;Oceania;2294,199951;NA;1,049999952;NA
184;Marshall Is;Oceania;NA;NA;5,650000095;NA
185;Micronesia;Oceania;2906,800049;NA;NA;NA
186;Nauru;Oceania;NA;NA;51,84999847;NA
187;New Zealand;Oceania;25199,59961;NA;26,95000076;NA
188;Palau;Oceania;NA;NA;21,34999847;NA
189;Papua New Guinea;Oceania;1953,800049;60,09999847;2,75;NA
190;Samoa;Oceania;4012,600098;98,80000305;3,099999905;NA
191;Solomon Islands;Oceania;2249,199951;NA;1,399999976;NA
192;Tonga;Oceania;4072,199951;99;4,850000381;NA
193;Tuvalu;Oceania;NA;NA;NA;NA
194;Vanuatu;Oceania;3809,800049;82;1,5;NA
